rank,test_means,test_stds,train_means,train_stds,n_neighbors,weights
2,0.7204593876997979,0.0024561952741462465,1.0,0.0,1,uniform
2,0.7204593876997979,0.0024561952741462465,1.0,0.0,1,distance
1,0.7266378570697648,0.0026733659969181613,0.9997416391134271,0.00021095082401716215,2,uniform
2,0.7204593876997979,0.0024561952741462465,1.0,0.0,2,distance
8,0.7014823606044058,0.0029947078311058995,0.7274560721089347,0.0009815852488351006,3,uniform
7,0.7023312205714085,0.003000568962335899,1.0,0.0,3,distance
5,0.7047651172587244,0.00181692127174734,0.7330576565158393,0.0013229006937449106,4,uniform
6,0.7030056647093937,0.0016545197000713539,1.0,0.0,4,distance
12,0.6931269249836742,0.0036883147024117597,0.7048135262332094,0.0012815533224422237,5,uniform
11,0.6941178893455981,0.0031890906671337474,1.0,0.0,5,distance
9,0.6958124755123943,0.004846509707660526,0.7080426010348634,0.001188004339079312,6,uniform
10,0.6957839972968693,0.0033947258001980228,1.0,0.0,6,distance
18,0.6882050633201441,0.004778338459646757,0.6962028236886779,0.0017281197358741433,7,uniform
15,0.6898475793605893,0.005318093293807322,1.0,0.0,7,distance
13,0.6908274819987865,0.004832711814774534,0.6977782275578528,0.0016831753324172342,8,uniform
14,0.6903279381561871,0.004407403982609737,1.0,0.0,8,distance
22,0.6862548780803929,0.005266256119135247,0.6910763613046751,0.000820724278174153,9,uniform
20,0.6869051907617876,0.005282465502055462,1.0,0.0,9,distance
16,0.6891831746299522,0.004509231952494744,0.6924875562082146,0.0008343834916701048,10,uniform
17,0.6888598022161906,0.004887240378187457,1.0,0.0,10,distance
24,0.6851210451717165,0.005148932380500086,0.6885350148344058,0.0007337562013848665,11,uniform
23,0.6852858150035492,0.005375682384907948,1.0,0.0,11,distance
19,0.6870677002584312,0.00500781143479665,0.689770829840764,0.0006864256794934149,12,uniform
21,0.6865858302793904,0.005479871169809195,1.0,0.0,12,distance
28,0.6831702750022786,0.004090865191565452,0.6868691539115974,0.0010657375164007921,13,uniform
27,0.6834957549208425,0.004415839893210452,1.0,0.0,13,distance
25,0.6839742175603801,0.004000840891485095,0.6878576671692886,0.0011355639528661309,14,uniform
26,0.683962344316196,0.0035371550058824657,1.0,0.0,14,distance
32,0.6818861819735452,0.003981892193018367,0.6848825947183631,0.00085655305018744,15,uniform
30,0.6822084270214563,0.004102666219734589,1.0,0.0,15,distance
34,0.6812977813345935,0.004962903959472934,0.6848395149351968,0.00033235960221223744,16,uniform
29,0.6828401536832281,0.0038055037299834183,1.0,0.0,16,distance
37,0.6803189700128927,0.005076894416152291,0.6821726466729283,0.0005996026308524676,17,uniform
33,0.6817302865000877,0.004509138383763628,1.0,0.0,17,distance
35,0.680493727970526,0.005405518669853653,0.6828310033631493,0.0010418367050063688,18,uniform
31,0.682034896960806,0.003588821174583319,1.0,0.0,18,distance
40,0.6771436995764681,0.00493430206065574,0.680340889955346,0.0010192989385776605,19,uniform
38,0.6801274900100784,0.004049221199988286,1.0,0.0,19,distance
39,0.6771513993699741,0.0039303315659831965,0.6810663893361397,0.0010470708123663317,20,uniform
36,0.6804392863399564,0.0032658566252200673,1.0,0.0,20,distance
